# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
#     z(km)      p(mb)        T(K)    air(cm-3)    o3(cm-3)     o2(cm-3)    h2o(cm-3)    co2(cm-3)     no2(cm-3)
   6.400 4.477600e+02 2.466000e+02 1.314195e+19 5.847886e+11 2.748350e+18 1.043311e+16 4.339500e+15 3.024500e+08
   6.300 4.538700e+02 2.472500e+02 1.328754e+19 5.797359e+11 2.778655e+18 1.100127e+16 4.387350e+15 3.057850e+08
   6.200 4.599800e+02 2.479000e+02 1.343312e+19 5.746831e+11 2.808960e+18 1.156942e+16 4.435200e+15 3.091200e+08
   6.100 4.660900e+02 2.485500e+02 1.357871e+19 5.696304e+11 2.839265e+18 1.213758e+16 4.483050e+15 3.124550e+08
   6.000 4.722000e+02 2.492000e+02 1.372429e+19 5.645776e+11 2.869570e+18 1.270574e+16 4.530900e+15 3.157900e+08
   5.900 4.790300e+02 2.498500e+02 1.388287e+19 5.658456e+11 2.902801e+18 1.357537e+16 4.583370e+15 3.194470e+08
   5.800 4.858600e+02 2.505000e+02 1.404144e+19 5.671136e+11 2.936032e+18 1.444500e+16 4.635840e+15 3.231040e+08
   5.700 4.926900e+02 2.511500e+02 1.420002e+19 5.683816e+11 2.969263e+18 1.531463e+16 4.688310e+15 3.267610e+08
   5.600 4.995200e+02 2.518000e+02 1.435860e+19 5.696496e+11 3.002494e+18 1.618426e+16 4.740780e+15 3.304180e+08
   5.500 5.063500e+02 2.524500e+02 1.451718e+19 5.709176e+11 3.035725e+18 1.705389e+16 4.793250e+15 3.340750e+08
   5.400 5.131800e+02 2.531000e+02 1.467575e+19 5.721856e+11 3.068956e+18 1.792352e+16 4.845720e+15 3.377320e+08
   5.300 5.200100e+02 2.537500e+02 1.483433e+19 5.734536e+11 3.102187e+18 1.879315e+16 4.898190e+15 3.413890e+08
   5.200 5.268400e+02 2.544000e+02 1.499291e+19 5.747216e+11 3.135418e+18 1.966278e+16 4.950660e+15 3.450460e+08
   5.100 5.336700e+02 2.550500e+02 1.515148e+19 5.759896e+11 3.168649e+18 2.053241e+16 5.003130e+15 3.487030e+08
   5.000 5.405000e+02 2.557000e+02 1.531006e+19 5.772576e+11 3.201880e+18 2.140204e+16 5.055600e+15 3.523600e+08
   4.900 5.481100e+02 2.563500e+02 1.548232e+19 5.772463e+11 3.237828e+18 2.293907e+16 5.112360e+15 3.563160e+08
   4.800 5.557200e+02 2.570000e+02 1.565458e+19 5.772350e+11 3.273776e+18 2.447610e+16 5.169120e+15 3.602720e+08
   4.700 5.633300e+02 2.576500e+02 1.582684e+19 5.772238e+11 3.309724e+18 2.601312e+16 5.225880e+15 3.642280e+08
   4.600 5.709400e+02 2.583000e+02 1.599910e+19 5.772125e+11 3.345672e+18 2.755015e+16 5.282640e+15 3.681840e+08
   4.500 5.785500e+02 2.589500e+02 1.617136e+19 5.772012e+11 3.381620e+18 2.908718e+16 5.339400e+15 3.721400e+08
   4.400 5.861600e+02 2.596000e+02 1.634363e+19 5.771899e+11 3.417568e+18 3.062421e+16 5.396160e+15 3.760960e+08
   4.300 5.937700e+02 2.602500e+02 1.651589e+19 5.771786e+11 3.453516e+18 3.216124e+16 5.452920e+15 3.800520e+08
   4.200 6.013800e+02 2.609000e+02 1.668815e+19 5.771674e+11 3.489464e+18 3.369826e+16 5.509680e+15 3.840080e+08
   4.100 6.089900e+02 2.615500e+02 1.686041e+19 5.771561e+11 3.525412e+18 3.523529e+16 5.566440e+15 3.879640e+08
   4.000 6.166000e+02 2.622000e+02 1.703267e+19 5.771448e+11 3.561360e+18 3.677232e+16 5.623200e+15 3.919200e+08
   3.900 6.250600e+02 2.628500e+02 1.721951e+19 5.821737e+11 3.600443e+18 3.911225e+16 5.684910e+15 3.962210e+08
   3.800 6.335200e+02 2.635000e+02 1.740635e+19 5.872026e+11 3.639526e+18 4.145218e+16 5.746620e+15 4.005220e+08
   3.700 6.419800e+02 2.641500e+02 1.759318e+19 5.922315e+11 3.678609e+18 4.379211e+16 5.808330e+15 4.048230e+08
   3.600 6.504400e+02 2.648000e+02 1.778002e+19 5.972604e+11 3.717692e+18 4.613204e+16 5.870040e+15 4.091240e+08
   3.500 6.589000e+02 2.654500e+02 1.796686e+19 6.022892e+11 3.756775e+18 4.847197e+16 5.931750e+15 4.134250e+08
   3.400 6.673600e+02 2.661000e+02 1.815370e+19 6.073181e+11 3.795858e+18 5.081190e+16 5.993460e+15 4.177260e+08
   3.300 6.758200e+02 2.667500e+02 1.834054e+19 6.123470e+11 3.834941e+18 5.315183e+16 6.055170e+15 4.220270e+08
   3.200 6.842800e+02 2.674000e+02 1.852737e+19 6.173759e+11 3.874024e+18 5.549176e+16 6.116880e+15 4.263280e+08
   3.100 6.927400e+02 2.680500e+02 1.871421e+19 6.224048e+11 3.913107e+18 5.783169e+16 6.178590e+15 4.306290e+08
   3.000 7.012000e+02 2.687000e+02 1.890105e+19 6.274337e+11 3.952190e+18 6.017162e+16 6.240300e+15 4.349300e+08
   2.900 7.105800e+02 2.693500e+02 1.910328e+19 6.324731e+11 3.994617e+18 6.385177e+16 6.307290e+15 4.395990e+08
   2.800 7.199600e+02 2.700000e+02 1.930550e+19 6.375125e+11 4.037044e+18 6.753193e+16 6.374280e+15 4.442680e+08
   2.700 7.293400e+02 2.706500e+02 1.950773e+19 6.425520e+11 4.079471e+18 7.121208e+16 6.441270e+15 4.489370e+08
   2.600 7.387200e+02 2.713000e+02 1.970995e+19 6.475914e+11 4.121898e+18 7.489223e+16 6.508260e+15 4.536060e+08
